variables= "x","y","z"
zone t= "1",i=21,j=21
0 0 1
0 0.0169 1.013
0 0.0352083 1.02708
0 0.0551087 1.04239
0 0.0768182 1.05909
0 0.100595 1.07738
0 0.12675 1.0975
0 0.155658 1.11974
0 0.187778 1.14444
0 0.223676 1.17206
0 0.264063 1.20312
0 0.309833 1.23833
0 0.362143 1.27857
0 0.4225 1.325
0 0.481579 1.36931
0 0.539214 1.40596
0 0.606438 1.43753
0 0.689245 1.46401
0 0.787643 1.48403
0 0.894957 1.49615
0 0.825 1.5
0.0097561 0 1.01463
0.0462486 0.0126653 1.0765
0.0419217 0.0272735 1.07823
0.036876 0.0443088 1.08025
0.030916 0.0644309 1.08263
0.0253792 0.0866533 1.08809
0.0213836 0.110679 1.09837
0.0185027 0.137586 1.11278
0.0164643 0.168099 1.13109
0.015097 0.202941 1.15342
0.0142957 0.242971 1.18015
0.0134138 0.287765 1.21185
0.0117172 0.337934 1.2502
0.00896087 0.396704 1.29803
0.00612917 0.4574 1.34728
0.00445565 0.51929 1.38957
0.00415043 0.591765 1.42536
0.0045489 0.679568 1.45476
0.00490456 0.782605 1.47826
0.0053318 0.893535 1.49451
0.00588235 0.827206 1.49853
0.0235294 0 1.03529
0.0877465 0.011835 1.13576
0.0815705 0.0261371 1.13151
0.0739573 0.0437673 1.12626
0.0643392 0.0660403 1.11963
0.0547249 0.0908236 1.11607
0.0473318 0.116945 1.11925
0.0417413 0.146121 1.12807
0.0376415 0.179245 1.14196
0.0348143 0.217012 1.16073
0.0331153 0.260136 1.18446
0.0312249 0.306059 1.21331
0.027563 0.354012 1.24939
0.0214609 0.40814 1.29688
0.0149576 0.46512 1.34818
0.0109902 0.525583 1.39227
0.0102441 0.597191 1.42694
0.0111786 0.683223 1.45325
0.0120078 0.784343 1.47545
0.0130041 0.893963 1.49351
0.0142857 0.830357 1.49643
0.0444444 0 1.06667
0.12519 0.0110859 1.18923
0.119126 0.0250606 1.18197
0.111246 0.0432227 1.17252
0.100588 0.0677858 1.15975
0.0890459 0.095701 1.14881
0.0794809 0.124709 1.14513
0.0718011 0.157161 1.14784
0.0658932 0.194115 1.15645
0.0616561 0.236169 1.17069
0.0590097 0.283754 1.1904
0.0560192 0.331527 1.21533
0.0501864 0.376967 1.24823
0.040113 0.425205 1.29516
0.0287719 0.4772 1.34959
0.0215015 0.535704 1.3966
0.0200631 0.605934 1.42949
0.0217401 0.689047 1.45083
0.0232155 0.787085 1.47102
0.0249912 0.894631 1.49195
0.0272727 0.835227 1.49318
0.08 0 1.12
0.159145 0.0104065 1.23773
0.15475 0.0240395 1.22983
0.148743 0.0426751 1.21904
0.140035 0.0696852 1.20341
0.129725 0.101482 1.1876
0.120355 0.13458 1.17802
0.112202 0.171999 1.17441
0.105475 0.214947 1.17677
0.100335 0.263773 1.18504
0.0968921 0.318306 1.19908
0.0929053 0.369415 1.21835
